parkinglot_id,parkinglot_name,latitude,longitude,parkinglot_div,parkinglot_type,parkinglot_num,parkinglot_cost,parkinglot_add,parkinglot_time
10101,봉평신라비 홍보관 공영주차장,37.0437011,129.4093438,공영,노외,104,무료,경상북도 울진군 죽변면 봉평리 47,연중 무휴
10102,방어동(1009-9),35.4816746,129.4085415,공영,노외,8,무료,울산광역시 동구 방어동 1009-9,연중 무휴
10103,방어동(1009-6),35.4821524,129.4083465,공영,노외,50,무료,울산광역시 동구 방어동 1009-6,연중 무휴
10104,연호공원 공영주차장,36.9946536,129.4065593,공영,노외,119,무료,경상북도 울진군 울진읍 연지리 793,연중 무휴
10105,2호관사앞  공영주차장,36.9971904,129.4030048,공영,노외,40,무료,경상북도 울진군 울진읍 읍내리 581-2,연중 무휴
10106,울진시장 공영주차장,36.9919188,129.4022819,공영,노외,151,무료,경상북도 울진군 울진읍 읍내리 53-24,연중 무휴
10107,엑스포공원 공영주차장,36.9686863,129.4010841,공영,노외,42,무료,경상북도 울진군 근남면 수산리 346,연중 무휴
10108,구문화원 공영주차장,36.9922476,129.4001,공영,노외,43,무료,경상북도 울진군 울진읍 읍내리 77-2,연중 무휴
10109,신성슈퍼앞(성심한의원) 공영주차장,36.9903444,129.3992361,공영,노상,50,무료,경상북도 울진군 울진읍 읍내리 135-5,연중 무휴
10110,남대천변 공영주차장,36.992689,129.399028,공영,노외,정보 없음,무료,경상북도 울진군 울진읍읍내리 450,연중 무휴
10111,울진항교앞 공영주차장,36.99455,129.3985057,공영,노상,30,무료,경상북도 울진군 울진읍 읍내리 653-1,연중 무휴
10112,근남농협앞 공영주차장,36.9639371,129.3984022,공영,노외,11,무료,경상북도 울진군 근남면 노음리 322-38,연중 무휴
10113,근남농협 왕피천변 공영주차장,36.9639371,129.3984022,공영,노외,70,무료,경상북도 울진군 근남면 노음리 322-38,연중 무휴
10114,울진등기소 앞 공영주차장,36.9892551,129.3966144,공영,노외,100,무료,경상북도 울진군 울진읍 읍내리406-2,연중 무휴
10115,염포마을공동,35.5362615,129.392919,공영,노외,50,유료,울산광역시 북구 염포동 307-3,연중 무휴
10116,현대자동차사택,35.5416113,129.39213,공영,노외,23,무료,울산광역시 북구 양정동 772-1,연중 무휴
10117,염포신전 노상,35.5356331,129.39053,공영,노상,23,유료,울산광역시 북구 염포동 195-1,연중 무휴
10118,강구공영주차장,36.3597209,129.3874371,공영,노상,189,유료,경상북도 영덕군 강구면 강구리363-22,연중 무휴
10119,양정복개천 노상,35.5472203,129.384623,공영,노상,70,유료,울산광역시 북구 양정동 776-33,연중 무휴
10120,박물관부설,35.50376,129.381675,공영,부설,230,유료,울산광역시 남구 매암동 139-29,연중 무휴
10121,민물고기연구센터 공영주차장,36.9665543,129.3809885,공영,노외,80,무료,경상북도 울진군 근남면 행곡리 228,연중 무휴
10122,성류굴 민영주차장,36.953439,129.380596,민영,노외,200,유료,경상북도 울진군 근남면 구산리 397-1,연중 무휴
10123,임광아파트 공영주차장,36.9559366,129.3791041,공영,노상,12,무료,경상북도 울진군 후포면 삼율리53-57,연중 무휴
10124,성류굴 공영주차장,36.9559366,129.3791041,공영,노외,285,무료,경상북도 울진군 근남면 구산리 404-4,연중 무휴
10125,영일대,36.0558574,129.3779474,공영,노상,185,유료,경상북도 포항시 북구 두호동,"일요일,공휴일 휴무"
10126,모듈화산업단지제2,35.5710394,129.376175,공영,노외,145,무료,울산광역시 북구 효문동 986,연중 무휴
10127,성류굴종합운동장 공영주차장,36.9582779,129.3748349,공영,노외,563,무료,경상북도 울진군 근남면 수곡리 62,연중 무휴
10128,모듈화산업단지제1,35.5797445,129.373377,공영,노외,80,무료,울산광역시 북구 연암동 1372,연중 무휴
10129,북면사무소(광장) 공영주차장,37.1048653,129.3730896,공영,노외,25,무료,경상북도 울진군 북면 부구리 175,연중 무휴
10130,흥부시장 공영주차장,37.1048653,129.3730896,공영,노외,42,무료,경상북도 울진군 북면 부구리 175,연중 무휴
10131,부구천변  공영주차장,37.1048653,129.3730896,공영,노외,20,무료,경상북도 울진군 북면 부구리 175,연중 무휴
10132,화동,35.5911679,129.373008,공영,노외,95,무료,울산광역시 북구 화봉동 365,연중 무휴
10133,송도삼일,36.033933,129.373006,공영,노외,74,유료,경상북도 포항시 남구 송도동,월요일 휴무
10134,울진원자력전시관 민영주차장,37.0972856,129.3715575,민영,노외,300,무료,경상북도 울진군 북면 부구리 1,연중 무휴
10135,효문노상,35.5894989,129.371282,공영,노상,141,무료,울산광역시 북구 화봉동 961-3,연중 무휴
10136,큰동해 시장,36.0262006,129.371077,공영,노외,17,유료,경상북도 포항시 남구 해도동,"주말,공휴일 휴무"
10137,효죽이면,35.5652387,129.371041,공영,노상,15,무료,울산광역시 북구 효문동 958-16,연중 무휴
10138,21세기학원 뒤 노상,35.5877235,129.370843,공영,노상,38,무료,울산광역시 북구 연암동 1092-4,연중 무휴
10139,나곡해수욕장 공영주차장,37.126378,129.3703728,공영,노외,46,무료,경상북도 울진군 북면 나곡리 707,연중 무휴
10140,시내노상,36.035458,129.369863,공영,노상,292,유료,경상북도 포항시 북구 덕수동 55-3,"일요일,공휴일 휴무"
10141,어시장 노상,36.035458,129.369863,공영,노상,19,유료,경상북도 포항시 북구 죽도동,"월요일,공휴일 휴무"
10142,칠성천,36.035458,129.369863,공영,노상,128,유료,경상북도 포항시 북구 죽도동,연중 무휴
10143,동빈부두,36.035458,129.369863,공영,노외,55,유료,경상북도 포항시 북구 죽도동,월요일 휴무
10144,북부시장,36.035458,129.369863,공영,노상,17,유료,경상북도 포항시 북구 죽도동,"주말,공휴일 휴무"
10145,오거리,36.035458,129.369863,공영,노외,171,유료,경상북도 포항시 북구 죽도동,연중 무휴
10146,죽도어시장,36.035458,129.369863,공영,노외,169,유료,경상북도 포항시 북구 죽도동,연중 무휴
10147,화봉동 1460-4,35.5908609,129.369381,공영,노외,8,무료,울산광역시 북구 화봉동 1460-4,연중 무휴
10148,효성학원 뒤,35.583628,129.369256,공영,노상,15,무료,울산광역시 북구 연암동 1095-6,연중 무휴
10149,매곡3산업단지(3),35.6418059,129.368897,공영,노외,16,무료,울산광역시 북구 매곡동 887-4,연중 무휴
10150,연암,35.584028,129.368617,공영,노외,8,무료,울산광역시 북구 연암동 322-2,연중 무휴
10151,대해시장,36.0188005,129.3685749,공영,노외,21,유료,경상북도 포항시 남구 해도동,"주말,공휴일 휴무"
10152,홍길동숯불갈비,35.5811191,129.368542,공영,노상,27,무료,울산광역시 북구 연암동 1093-8,연중 무휴
10153,울산아파트형공장,35.5672712,129.368487,공영,노외,46,무료,울산광역시 북구 효문동 818,연중 무휴
10154,화봉,35.5885756,129.367835,공영,노외,25,무료,울산광역시 북구 화봉동 450-1,연중 무휴
10155,매곡3산업단지(1),35.6393132,129.367819,공영,노외,109,무료,울산광역시 북구 매곡동 884-5,연중 무휴
10156,상방공원 이면,35.5839816,129.367766,공영,노상,63,무료,울산광역시 북구 연암동 1095-8,연중 무휴
10157,상방마을이면,35.5839816,129.367766,공영,노상,4,무료,울산광역시 북구 연암동 1095-8,연중 무휴
10158,매곡3산업단지(2),35.6382108,129.367521,공영,노외,34,무료,울산광역시 북구 매곡동 885-7,연중 무휴
10159,화봉 노상,35.5879444,129.367397,공영,노상,18,유료,울산광역시 북구 연암동 363-6,연중 무휴
10160,연암노상,35.5886125,129.367329,공영,노상,17,유료,울산광역시 북구 화봉동 449-6,연중 무휴
10161,벽산반점 앞,35.584014,129.366576,공영,노상,33,무료,울산광역시 북구 연암동 376-5,연중 무휴
10162,상방,35.582171,129.365904,공영,노외,6,무료,울산광역시 북구 연암동 435-4,연중 무휴
10163,영덕군청주차장,36.4150343,129.365267,공영,부설,307,무료,경상북도 영덕군 영덕읍 남석리310-3,연중 무휴
10164,매곡2산업단지,35.6512136,129.364726,공영,노외,27,무료,울산광역시 북구 매곡동 875-3,연중 무휴
10165,성원아파트 이면,35.5867022,129.364581,공영,노상,23,무료,울산광역시 북구 연암동 1097-2,연중 무휴
10166,벽산아파트 이면,35.5850901,129.364545,공영,노상,34,무료,울산광역시 북구 연암동 1097-5,연중 무휴
10167,상방복개천 노상,35.5815839,129.364144,공영,노상,78,유료,울산광역시 북구 연암동 417-4,연중 무휴
10168,매곡1산업단지,35.6474797,129.363534,공영,노외,141,무료,울산광역시 북구 매곡동 349-4,연중 무휴
10169,화봉동422-1,35.5928172,129.361981,공영,노외,6,무료,울산광역시 북구 화봉동 422-1,연중 무휴
10170,대도,36.0150538,129.3611681,공영,노외,37,유료,경상북도 포항시 남구 대도동,"주말,공휴일 휴무"
10171,화봉토속정 노상,35.5867034,129.360842,공영,노상,15,무료,울산광역시 북구 화봉동 957-11,연중 무휴
10172,일취월장학원 노상,35.5907146,129.360761,공영,노상,21,무료,울산광역시 북구 화봉동 957-5,연중 무휴
10173,동울산세무소 이면,35.5867437,129.359707,공영,노상,20,무료,울산광역시 북구 화봉동 957-10,연중 무휴
10174,남사고유적지 공영주차장,36.9565476,129.3595101,공영,노외,75,무료,경상북도 울진군 근남면 수곡리 387-2,연중 무휴
10175,호계동 375,35.627358,129.357633,공영,노외,8,무료,울산광역시 북구 호계동 375,연중 무휴
10176,창평공영주차장,35.6207092,129.357129,공영,노외,90,무료,울산광역시 북구 창평동 1052-1,연중 무휴
10177,상도,36.0140346,129.3569611,공영,노외,20,유료,경상북도 포항시 남구 상도동,"주말,공휴일 휴무"
10178,호계동 676-8,35.6241969,129.356635,공영,노외,5,무료,울산광역시 북구 호계동 676-8,연중 무휴
10179,중산산업단지1,35.6547274,129.356461,공영,노외,30,무료,울산광역시 북구 중산동 1253-4,연중 무휴
10180,번영교밑,35.54474,129.356432,공영,노외,71,무료,울산광역시 남구 삼산동 34-1,연중 무휴
10181,호계동 719-3,35.6260802,129.355708,공영,노외,16,무료,울산광역시 북구 호계동 719-3,연중 무휴
10182,호계동 283-6,35.6286332,129.355551,공영,노외,6,무료,울산광역시 북구 호계동 283-6,연중 무휴
10183,호계시장,35.6235514,129.355546,공영,노외,16,무료,울산광역시 북구 호계동 869-1,연중 무휴
10184,호계역1,35.6210785,129.355297,공영,노외,245,무료,울산광역시 북구 호계동 842-2,연중 무휴
10185,중산산업단지2(1),35.6565486,129.355024,공영,노외,30,무료,울산광역시 북구 중산동 1270-3,연중 무휴
10186,매곡푸르지오,35.645855,129.354015,공영,노외,14,무료,울산광역시 북구 매곡동 844,연중 무휴
10187,호계역3,35.6253331,129.352442,공영,노외,42,무료,울산광역시 북구 호계동 743-2,연중 무휴
10188,신천동 331,35.6319438,129.352128,공영,노외,15,무료,울산광역시 북구 신천동 331,연중 무휴
10189,중산산업단지2(2),35.6615249,129.352123,공영,노외,40,무료,울산광역시 북구 중산동 1266-4,연중 무휴
10190,중산산업단지2(3),35.6636909,129.351943,공영,노외,40,무료,울산광역시 북구 중산동 1263-5,연중 무휴
10191,호계역2,35.625057,129.351816,공영,노외,34,무료,울산광역시 북구 호계동 775-6,연중 무휴
